customer_state,taxa_atraso,atraso_medio_dias
AL,0.2349137931034483,20.51011235955056
MA,0.1939252336448598,17.34264884568651
PI,0.1527777777777778,15.637184115523466
SE,0.1513647642679901,17.316062176165804
CE,0.14440894568690096,17.022606382978722
BA,0.13273038376924956,15.365569620253165
RJ,0.12475834514757056,11.383135106240813
PA,0.1195748449955713,19.81039197812215
ES,0.11906779661016949,11.779982743744608
RN,0.1132404181184669,15.41740674955595
PB,0.11180124223602485,16.5
TO,0.11176470588235295,13.1437125748503
MS,0.10440835266821345,11.846698113207546
PE,0.09863588667366212,14.514673913043477
RR,0.09615384615384616,24.152173913043477
SC,0.09321058688147296,11.1
GO,0.07623682076236821,11.817536534446765
DF,0.07114467408585055,9.214548426644871
RS,0.06617982656321314,11.462052877138413
MT,0.0627208480565371,14.368761552680223
SP,0.05486919327563911,5.074308543331284
MG,0.052319270569505756,8.238719715492332
AP,0.047619047619047616,24.048192771084338
PR,0.04650008274036075,8.205632846963013
AM,0.04046242774566474,23.258823529411764
RO,0.03767123287671233,16.387900355871885
AC,0.031578947368421054,16.840425531914892
